senti,date,weight
PC,2020-05-12,10
NA,2020-05-12,0
PF,2020-05-12,0
PE,2020-05-12,18
PK,2020-05-12,20
NI,2020-05-12,5
NJ,2020-05-12,8.5
NG,2020-05-12,0
NK,2020-05-12,0
NL,2020-05-12,40
PH ,2020-05-12,0
NN,2020-05-11,177
NE,2020-05-11,0
ND,2020-05-11,61
PH,2020-05-11,266.0
PA,2020-05-11,61
PD,2020-05-11,72
NB,2020-05-11,19
PB,2020-05-11,8
PG,2020-05-11,61
NC,2020-05-11,5
NH,2020-05-11,-9
PC,2020-05-11,15
NA,2020-05-11,-2
PF,2020-05-11,0
PE,2020-05-11,-7
PK,2020-05-11,19
NI,2020-05-11,5
NJ,2020-05-11,0
NG,2020-05-11,0
NK,2020-05-11,0
NL,2020-05-11,64.5
PH ,2020-05-11,0
NN,2020-05-10,277.5
NE,2020-05-10,8
ND,2020-05-10,73
PH,2020-05-10,236
PA,2020-05-10,94
PD,2020-05-10,88
NB,2020-05-10,6
PB,2020-05-10,63
PG,2020-05-10,82
NC,2020-05-10,57
NH,2020-05-10,0
PC,2020-05-10,13
NA,2020-05-10,11
PF,2020-05-10,2
PE,2020-05-10,28
PK,2020-05-10,28
NI,2020-05-10,5
NJ,2020-05-10,12
NG,2020-05-10,8
NK,2020-05-10,0
NL,2020-05-10,54.0
PH ,2020-05-10,0
NN,2020-05-09,53
NE,2020-05-09,27
ND,2020-05-09,-6
PH,2020-05-09,141
PA,2020-05-09,63
PD,2020-05-09,30
NB,2020-05-09,28
PB,2020-05-09,31
PG,2020-05-09,18
NC,2020-05-09,63
NH,2020-05-09,16
PC,2020-05-09,17
NA,2020-05-09,14
PF,2020-05-09,4
PE,2020-05-09,10
PK,2020-05-09,60
NI,2020-05-09,7
NJ,2020-05-09,17
NG,2020-05-09,0
NK,2020-05-09,0
NL,2020-05-09,20
PH ,2020-05-09,0
NN,2020-05-08,148
NE,2020-05-08,10
ND,2020-05-08,8
PH,2020-05-08,94.5
PA,2020-05-08,33
PD,2020-05-08,5
NB,2020-05-08,-1
PB,2020-05-08,14.5
PG,2020-05-08,69
NC,2020-05-08,58.5
NH,2020-05-08,10
PC,2020-05-08,0
NA,2020-05-08,12
PF,2020-05-08,0.5
PE,2020-05-08,15
PK,2020-05-08,51
NI,2020-05-08,5
NJ,2020-05-08,7
NG,2020-05-08,0
NK,2020-05-08,0
NL,2020-05-08,25
PH ,2020-05-08,0
NN,2020-05-07,66.5
NE,2020-05-07,22
ND,2020-05-07,45
PH,2020-05-07,181.5
PA,2020-05-07,48
PD,2020-05-07,62
NB,2020-05-07,12
PB,2020-05-07,36.5
PG,2020-05-07,30
NC,2020-05-07,54
NH,2020-05-07,3
PC,2020-05-07,0
NA,2020-05-07,7
PF,2020-05-07,1
PE,2020-05-07,29
PK,2020-05-07,5
NI,2020-05-07,8
NJ,2020-05-07,0
NG,2020-05-07,0
NK,2020-05-07,0
NL,2020-05-07,30
PH ,2020-05-07,0
NN,2020-05-06,65
NE,2020-05-06,26
ND,2020-05-06,39
PH,2020-05-06,110
PA,2020-05-06,21
PD,2020-05-06,16
NB,2020-05-06,-5
PB,2020-05-06,11
PG,2020-05-06,75
NC,2020-05-06,21
NH,2020-05-06,7
PC,2020-05-06,0
NA,2020-05-06,0
PF,2020-05-06,3
PE,2020-05-06,6
PK,2020-05-06,13
NI,2020-05-06,3
NJ,2020-05-06,1
NG,2020-05-06,3
NK,2020-05-06,0
NL,2020-05-06,43.5
PH ,2020-05-06,0
NN,2020-05-05,80
NE,2020-05-05,4
ND,2020-05-05,10
PH,2020-05-05,76.5
PA,2020-05-05,40
PD,2020-05-05,18
NB,2020-05-05,12
PB,2020-05-05,18
PG,2020-05-05,15
NC,2020-05-05,33
NH,2020-05-05,1
PC,2020-05-05,0
NA,2020-05-05,7
PF,2020-05-05,0
PE,2020-05-05,7
PK,2020-05-05,4
NI,2020-05-05,0
NJ,2020-05-05,0
NG,2020-05-05,0
NK,2020-05-05,0
NL,2020-05-05,40
PH ,2020-05-05,0
NN,2020-05-04,196
NE,2020-05-04,14.5
ND,2020-05-04,42
PH,2020-05-04,237.5
PA,2020-05-04,143
PD,2020-05-04,66
NB,2020-05-04,46
PB,2020-05-04,10
PG,2020-05-04,46.5
NC,2020-05-04,20.5
NH,2020-05-04,9.5
PC,2020-05-04,15
NA,2020-05-04,17
PF,2020-05-04,2
PE,2020-05-04,22
PK,2020-05-04,69
NI,2020-05-04,-5
NJ,2020-05-04,30
NG,2020-05-04,2
NK,2020-05-04,0
NL,2020-05-04,24
PH ,2020-05-04,0
NN,2020-05-03,179.0
NE,2020-05-03,51
ND,2020-05-03,75
PH,2020-05-03,254
PA,2020-05-03,61
PD,2020-05-03,132
NB,2020-05-03,25
PB,2020-05-03,53
PG,2020-05-03,80
NC,2020-05-03,94
NH,2020-05-03,3
PC,2020-05-03,17
NA,2020-05-03,28
PF,2020-05-03,8
PE,2020-05-03,33
PK,2020-05-03,35
NI,2020-05-03,5
NJ,2020-05-03,0
NG,2020-05-03,0
NK,2020-05-03,0
NL,2020-05-03,33.5
PH ,2020-05-03,0
NN,2020-05-02,143.5
NE,2020-05-02,27
ND,2020-05-02,26
PH,2020-05-02,216.0
PA,2020-05-02,45
PD,2020-05-02,46
NB,2020-05-02,34
PB,2020-05-02,12.5
PG,2020-05-02,31
NC,2020-05-02,37.5
NH,2020-05-02,19
PC,2020-05-02,7
NA,2020-05-02,19
PF,2020-05-02,0
PE,2020-05-02,41
PK,2020-05-02,16
NI,2020-05-02,11
NJ,2020-05-02,17
NG,2020-05-02,0
NK,2020-05-02,0
NL,2020-05-02,25
PH ,2020-05-02,0
NN,2020-05-01,29.5
NE,2020-05-01,-3.5
ND,2020-05-01,35
PH,2020-05-01,191
PA,2020-05-01,41.5
PD,2020-05-01,90
NB,2020-05-01,11
PB,2020-05-01,25
PG,2020-05-01,15
NC,2020-05-01,8
NH,2020-05-01,5
PC,2020-05-01,10
NA,2020-05-01,7
PF,2020-05-01,11
PE,2020-05-01,14
PK,2020-05-01,39
NI,2020-05-01,3
NJ,2020-05-01,17
NG,2020-05-01,14
NK,2020-05-01,0
NL,2020-05-01,24
PH ,2020-05-01,0
NN,2020-04-30,257.5
NE,2020-04-30,39
ND,2020-04-30,155
PH,2020-04-30,178.5
PA,2020-04-30,46
PD,2020-04-30,55
NB,2020-04-30,23
PB,2020-04-30,30.5
PG,2020-04-30,59
NC,2020-04-30,89
NH,2020-04-30,0
PC,2020-04-30,29
NA,2020-04-30,-3
PF,2020-04-30,0
PE,2020-04-30,11
PK,2020-04-30,55
NI,2020-04-30,22
NJ,2020-04-30,-4
NG,2020-04-30,0
NK,2020-04-30,0
NL,2020-04-30,48
PH ,2020-04-30,0
NN,2020-04-29,55
NE,2020-04-29,10
ND,2020-04-29,8
PH,2020-04-29,168
PA,2020-04-29,46
PD,2020-04-29,113
NB,2020-04-29,7
PB,2020-04-29,58
PG,2020-04-29,54
NC,2020-04-29,22
NH,2020-04-29,0
PC,2020-04-29,0
NA,2020-04-29,16
PF,2020-04-29,1
PE,2020-04-29,44
PK,2020-04-29,60
NI,2020-04-29,0
NJ,2020-04-29,14
NG,2020-04-29,0
NK,2020-04-29,0
NL,2020-04-29,5
PH ,2020-04-29,0
NN,2020-04-28,130
NE,2020-04-28,34
ND,2020-04-28,42
PH,2020-04-28,148.5
PA,2020-04-28,51
PD,2020-04-28,26
NB,2020-04-28,55
PB,2020-04-28,103.0
PG,2020-04-28,29
NC,2020-04-28,52
NH,2020-04-28,-7
PC,2020-04-28,4
NA,2020-04-28,17
PF,2020-04-28,0
PE,2020-04-28,20
PK,2020-04-28,84
NI,2020-04-28,-2
NJ,2020-04-28,19
NG,2020-04-28,-3
NK,2020-04-28,0
NL,2020-04-28,48
PH ,2020-04-28,0
NN,2020-04-27,141
NE,2020-04-27,10
ND,2020-04-27,38
PH,2020-04-27,252.0
PA,2020-04-27,16
PD,2020-04-27,51
NB,2020-04-27,26
PB,2020-04-27,35
PG,2020-04-27,50
NC,2020-04-27,11
NH,2020-04-27,0
PC,2020-04-27,0
NA,2020-04-27,11
PF,2020-04-27,5
PE,2020-04-27,72
PK,2020-04-27,64
NI,2020-04-27,12
NJ,2020-04-27,10
NG,2020-04-27,0
NK,2020-04-27,0
NL,2020-04-27,34
PH ,2020-04-27,0
NN,2020-04-26,114.0
NE,2020-04-26,23
ND,2020-04-26,39
PH,2020-04-26,124.5
PA,2020-04-26,156
PD,2020-04-26,35
NB,2020-04-26,23
PB,2020-04-26,37
PG,2020-04-26,8
NC,2020-04-26,12
NH,2020-04-26,0
PC,2020-04-26,8
NA,2020-04-26,0
PF,2020-04-26,1
PE,2020-04-26,7
PK,2020-04-26,29
NI,2020-04-26,3
NJ,2020-04-26,0
NG,2020-04-26,0
NK,2020-04-26,0
NL,2020-04-26,19
PH ,2020-04-26,0
NN,2020-04-25,102
NE,2020-04-25,33
ND,2020-04-25,29
PH,2020-04-25,183.5
PA,2020-04-25,65
PD,2020-04-25,7
NB,2020-04-25,17
PB,2020-04-25,51.5
PG,2020-04-25,77
NC,2020-04-25,48
NH,2020-04-25,-3
PC,2020-04-25,15
NA,2020-04-25,17
PF,2020-04-25,7
PE,2020-04-25,0
PK,2020-04-25,68
NI,2020-04-25,5
NJ,2020-04-25,24
NG,2020-04-25,0
NK,2020-04-25,0
NL,2020-04-25,80
PH ,2020-04-25,0
NN,2020-04-24,64
NE,2020-04-24,23
ND,2020-04-24,40
PH,2020-04-24,145.5
PA,2020-04-24,9
PD,2020-04-24,36
NB,2020-04-24,3
PB,2020-04-24,12
PG,2020-04-24,67
NC,2020-04-24,35.5
NH,2020-04-24,0
PC,2020-04-24,0
NA,2020-04-24,14
PF,2020-04-24,2
PE,2020-04-24,57
PK,2020-04-24,37
NI,2020-04-24,13
NJ,2020-04-24,7
NG,2020-04-24,0
NK,2020-04-24,0
NL,2020-04-24,35
PH ,2020-04-24,0
NN,2020-04-23,106
NE,2020-04-23,29
ND,2020-04-23,17
PH,2020-04-23,79.5
PA,2020-04-23,11
PD,2020-04-23,26
NB,2020-04-23,14
PB,2020-04-23,10
PG,2020-04-23,54
NC,2020-04-23,20
NH,2020-04-23,0
PC,2020-04-23,5
NA,2020-04-23,7
PF,2020-04-23,0
PE,2020-04-23,17
PK,2020-04-23,20
NI,2020-04-23,0
NJ,2020-04-23,12
NG,2020-04-23,0
NK,2020-04-23,0
NL,2020-04-23,12
PH ,2020-04-23,0
NN,2020-04-22,129.5
NE,2020-04-22,20
ND,2020-04-22,50.5
PH,2020-04-22,67.5
PA,2020-04-22,19
PD,2020-04-22,21.5
NB,2020-04-22,22
PB,2020-04-22,25
PG,2020-04-22,113
NC,2020-04-22,16
NH,2020-04-22,0
PC,2020-04-22,15
NA,2020-04-22,0
PF,2020-04-22,0
PE,2020-04-22,0
PK,2020-04-22,10
NI,2020-04-22,0
NJ,2020-04-22,14
NG,2020-04-22,0
NK,2020-04-22,0
NL,2020-04-22,50.5
PH ,2020-04-22,0
NN,2020-04-21,55.0
NE,2020-04-21,-3
ND,2020-04-21,17
PH,2020-04-21,85.5
PA,2020-04-21,46
PD,2020-04-21,5
NB,2020-04-21,13
PB,2020-04-21,44
PG,2020-04-21,14
NC,2020-04-21,5
NH,2020-04-21,7
PC,2020-04-21,11
NA,2020-04-21,0
PF,2020-04-21,2
PE,2020-04-21,23.5
PK,2020-04-21,41
NI,2020-04-21,21
NJ,2020-04-21,0
NG,2020-04-21,0
NK,2020-04-21,0
NL,2020-04-21,47
PH ,2020-04-21,0
NN,2020-04-20,54
NE,2020-04-20,32.5
ND,2020-04-20,36
PH,2020-04-20,25
PA,2020-04-20,63
PD,2020-04-20,0
NB,2020-04-20,7
PB,2020-04-20,-5
PG,2020-04-20,12
NC,2020-04-20,-2
NH,2020-04-20,5
PC,2020-04-20,0
NA,2020-04-20,0
PF,2020-04-20,0
PE,2020-04-20,14
PK,2020-04-20,10
NI,2020-04-20,8
NJ,2020-04-20,5
NG,2020-04-20,0
NK,2020-04-20,0
NL,2020-04-20,23
PH ,2020-04-20,0
NN,2020-04-19,33.5
NE,2020-04-19,33
ND,2020-04-19,8
PH,2020-04-19,131
PA,2020-04-19,93
PD,2020-04-19,15
NB,2020-04-19,14
PB,2020-04-19,14
PG,2020-04-19,20.5
NC,2020-04-19,15.5
NH,2020-04-19,0
PC,2020-04-19,5
NA,2020-04-19,0
PF,2020-04-19,0
PE,2020-04-19,8
PK,2020-04-19,68
NI,2020-04-19,0
NJ,2020-04-19,9
NG,2020-04-19,0
NK,2020-04-19,0
NL,2020-04-19,33
PH ,2020-04-19,0
NN,2020-04-18,78.0
NE,2020-04-18,13.5
ND,2020-04-18,10
PH,2020-04-18,155
PA,2020-04-18,46
PD,2020-04-18,69
NB,2020-04-18,38
PB,2020-04-18,5
PG,2020-04-18,69
NC,2020-04-18,44
NH,2020-04-18,3
PC,2020-04-18,0
NA,2020-04-18,0
PF,2020-04-18,-1
PE,2020-04-18,40
PK,2020-04-18,32
NI,2020-04-18,15.5
NJ,2020-04-18,7
NG,2020-04-18,0
NK,2020-04-18,0
NL,2020-04-18,20
PH ,2020-04-18,0
NN,2020-04-17,118
NE,2020-04-17,3
ND,2020-04-17,14
PH,2020-04-17,140
PA,2020-04-17,20
PD,2020-04-17,22
NB,2020-04-17,34
PB,2020-04-17,17
PG,2020-04-17,29
NC,2020-04-17,38
NH,2020-04-17,5
PC,2020-04-17,6
NA,2020-04-17,8
PF,2020-04-17,2
PE,2020-04-17,1
PK,2020-04-17,29
NI,2020-04-17,0
NJ,2020-04-17,0
NG,2020-04-17,3
NK,2020-04-17,0
NL,2020-04-17,74
PH ,2020-04-17,0
NN,2020-04-16,80.5
NE,2020-04-16,22
ND,2020-04-16,31
PH,2020-04-16,146
PA,2020-04-16,50
PD,2020-04-16,43
NB,2020-04-16,-7
PB,2020-04-16,34
PG,2020-04-16,85.5
NC,2020-04-16,72
NH,2020-04-16,5
PC,2020-04-16,23
NA,2020-04-16,14
PF,2020-04-16,0
PE,2020-04-16,7
PK,2020-04-16,4
NI,2020-04-16,5
NJ,2020-04-16,0
NG,2020-04-16,7
NK,2020-04-16,0
NL,2020-04-16,66
PH ,2020-04-16,0
NN,2020-04-15,184.5
NE,2020-04-15,24
ND,2020-04-15,25
PH,2020-04-15,253
PA,2020-04-15,87
PD,2020-04-15,53
NB,2020-04-15,49
PB,2020-04-15,19
PG,2020-04-15,46
NC,2020-04-15,69
NH,2020-04-15,20
PC,2020-04-15,5
NA,2020-04-15,17
PF,2020-04-15,2
PE,2020-04-15,41
PK,2020-04-15,64
NI,2020-04-15,0
NJ,2020-04-15,12.5
NG,2020-04-15,9
NK,2020-04-15,0
NL,2020-04-15,63.5
PH ,2020-04-15,0
NN,2020-04-14,182
NE,2020-04-14,15.0
ND,2020-04-14,9
PH,2020-04-14,215.5
PA,2020-04-14,45
PD,2020-04-14,74
NB,2020-04-14,51
PB,2020-04-14,30
PG,2020-04-14,15.5
NC,2020-04-14,30.5
NH,2020-04-14,0
PC,2020-04-14,5
NA,2020-04-14,19
PF,2020-04-14,11
PE,2020-04-14,5
PK,2020-04-14,53
NI,2020-04-14,0
NJ,2020-04-14,5
NG,2020-04-14,5
NK,2020-04-14,0
NL,2020-04-14,61
PH ,2020-04-14,0
NN,2020-04-13,99.0
NE,2020-04-13,20
ND,2020-04-13,7
PH,2020-04-13,166
PA,2020-04-13,34.5
PD,2020-04-13,34
NB,2020-04-13,37
PB,2020-04-13,31
PG,2020-04-13,88
NC,2020-04-13,19
NH,2020-04-13,0
PC,2020-04-13,5
NA,2020-04-13,38
PF,2020-04-13,3
PE,2020-04-13,17
PK,2020-04-13,20
NI,2020-04-13,4
NJ,2020-04-13,3
NG,2020-04-13,0
NK,2020-04-13,0
NL,2020-04-13,51
PH ,2020-04-13,0
NN,2020-04-12,93.5
NE,2020-04-12,6
ND,2020-04-12,17
PH,2020-04-12,168.5
PA,2020-04-12,35
PD,2020-04-12,49
NB,2020-04-12,18
PB,2020-04-12,32
PG,2020-04-12,56.5
NC,2020-04-12,39.5
NH,2020-04-12,-3
PC,2020-04-12,0
NA,2020-04-12,0
PF,2020-04-12,4
PE,2020-04-12,50
PK,2020-04-12,23
NI,2020-04-12,-4.5
NJ,2020-04-12,6
NG,2020-04-12,9
NK,2020-04-12,0
NL,2020-04-12,40
PH ,2020-04-12,0
NN,2020-04-11,94
NE,2020-04-11,18
ND,2020-04-11,31
PH,2020-04-11,146
PA,2020-04-11,29
PD,2020-04-11,29
NB,2020-04-11,3
PB,2020-04-11,20
PG,2020-04-11,30
NC,2020-04-11,44
NH,2020-04-11,-4
PC,2020-04-11,0
NA,2020-04-11,33.5
PF,2020-04-11,-2
PE,2020-04-11,16
PK,2020-04-11,25
NI,2020-04-11,0
NJ,2020-04-11,16
NG,2020-04-11,0
NK,2020-04-11,0
NL,2020-04-11,48
PH ,2020-04-11,0
NN,2020-04-10,92.5
NE,2020-04-10,13
ND,2020-04-10,46
PH,2020-04-10,205.0
PA,2020-04-10,46
PD,2020-04-10,37
NB,2020-04-10,26
PB,2020-04-10,31
PG,2020-04-10,57
NC,2020-04-10,6
NH,2020-04-10,5
PC,2020-04-10,0
NA,2020-04-10,0
PF,2020-04-10,0
PE,2020-04-10,0
PK,2020-04-10,20
NI,2020-04-10,0
NJ,2020-04-10,12
NG,2020-04-10,0
NK,2020-04-10,0
NL,2020-04-10,12
PH ,2020-04-10,0
NN,2020-04-09,165.5
NE,2020-04-09,25
ND,2020-04-09,38
PH,2020-04-09,301
PA,2020-04-09,104
PD,2020-04-09,28
NB,2020-04-09,22
PB,2020-04-09,94.5
PG,2020-04-09,105
NC,2020-04-09,58.5
NH,2020-04-09,27
PC,2020-04-09,10
NA,2020-04-09,18
PF,2020-04-09,3
PE,2020-04-09,31
PK,2020-04-09,55
NI,2020-04-09,0
NJ,2020-04-09,32
NG,2020-04-09,7
NK,2020-04-09,0
NL,2020-04-09,55
PH ,2020-04-09,0
NN,2020-04-08,123.0
NE,2020-04-08,44.5
ND,2020-04-08,21.5
PH,2020-04-08,874
PA,2020-04-08,92
PD,2020-04-08,21
NB,2020-04-08,22
PB,2020-04-08,74
PG,2020-04-08,97
NC,2020-04-08,136
NH,2020-04-08,8
PC,2020-04-08,15
NA,2020-04-08,0
PF,2020-04-08,14
PE,2020-04-08,46
PK,2020-04-08,62
NI,2020-04-08,11
NJ,2020-04-08,-3
NG,2020-04-08,-5
NK,2020-04-08,0
NL,2020-04-08,48
PH ,2020-04-08,0
NN,2020-04-07,272.0
NE,2020-04-07,66
ND,2020-04-07,27.5
PH,2020-04-07,431.5
PA,2020-04-07,166
PD,2020-04-07,137.5
NB,2020-04-07,71
PB,2020-04-07,108
PG,2020-04-07,138.5
NC,2020-04-07,57
NH,2020-04-07,4
PC,2020-04-07,25
NA,2020-04-07,106
PF,2020-04-07,-3
PE,2020-04-07,70
PK,2020-04-07,60
NI,2020-04-07,22
NJ,2020-04-07,19
NG,2020-04-07,3
NK,2020-04-07,0
NL,2020-04-07,187
PH ,2020-04-07,0
NN,2020-04-06,250.5
NE,2020-04-06,44
ND,2020-04-06,47
PH,2020-04-06,442.0
PA,2020-04-06,140.5
PD,2020-04-06,85
NB,2020-04-06,62
PB,2020-04-06,74.5
PG,2020-04-06,126
NC,2020-04-06,117
NH,2020-04-06,10
PC,2020-04-06,18
NA,2020-04-06,38
PF,2020-04-06,11
PE,2020-04-06,36
PK,2020-04-06,102.5
NI,2020-04-06,7
NJ,2020-04-06,8
NG,2020-04-06,5
NK,2020-04-06,0
NL,2020-04-06,60
PH ,2020-04-06,0
NN,2020-04-05,255.0
NE,2020-04-05,58
ND,2020-04-05,102
PH,2020-04-05,426.0
PA,2020-04-05,161
PD,2020-04-05,81
NB,2020-04-05,74
PB,2020-04-05,36.5
PG,2020-04-05,84
NC,2020-04-05,191
NH,2020-04-05,10
PC,2020-04-05,10
NA,2020-04-05,48
PF,2020-04-05,3
PE,2020-04-05,68
PK,2020-04-05,103
NI,2020-04-05,0
NJ,2020-04-05,35.5
NG,2020-04-05,0
NK,2020-04-05,7
NL,2020-04-05,120
PH ,2020-04-05,0
NN,2020-04-04,156
NE,2020-04-04,8.5
ND,2020-04-04,26
PH,2020-04-04,979.0
PA,2020-04-04,190
PD,2020-04-04,272
NB,2020-04-04,234
PB,2020-04-04,75
PG,2020-04-04,92.0
NC,2020-04-04,38.5
NH,2020-04-04,3
PC,2020-04-04,19
NA,2020-04-04,23
PF,2020-04-04,163
PE,2020-04-04,91.5
PK,2020-04-04,70
NI,2020-04-04,10
NJ,2020-04-04,28
NG,2020-04-04,0
NK,2020-04-04,0
NL,2020-04-04,73.5
PH ,2020-04-04,0
NN,2020-04-03,155
NE,2020-04-03,52.5
ND,2020-04-03,42
PH,2020-04-03,295
PA,2020-04-03,94
PD,2020-04-03,88
NB,2020-04-03,69
PB,2020-04-03,21.5
PG,2020-04-03,89
NC,2020-04-03,190.5
NH,2020-04-03,5
PC,2020-04-03,19
NA,2020-04-03,31
PF,2020-04-03,12
PE,2020-04-03,57
PK,2020-04-03,68
NI,2020-04-03,19
NJ,2020-04-03,5
NG,2020-04-03,-3
NK,2020-04-03,0
NL,2020-04-03,86
PH ,2020-04-03,0
NN,2020-04-02,184.5
NE,2020-04-02,50.5
ND,2020-04-02,177.5
PH,2020-04-02,646.0
PA,2020-04-02,141
PD,2020-04-02,148
NB,2020-04-02,27
PB,2020-04-02,162.5
PG,2020-04-02,152
NC,2020-04-02,98
NH,2020-04-02,29
PC,2020-04-02,0
NA,2020-04-02,73
PF,2020-04-02,10.5
PE,2020-04-02,60
PK,2020-04-02,104
NI,2020-04-02,16
NJ,2020-04-02,42
NG,2020-04-02,7
NK,2020-04-02,0
NL,2020-04-02,118
PH ,2020-04-02,0
NN,2020-04-01,152.0
NE,2020-04-01,69
ND,2020-04-01,102
PH,2020-04-01,486.0
PA,2020-04-01,125
PD,2020-04-01,172
NB,2020-04-01,61
PB,2020-04-01,51
PG,2020-04-01,123
NC,2020-04-01,110.5
NH,2020-04-01,13
PC,2020-04-01,15
NA,2020-04-01,21
PF,2020-04-01,5
PE,2020-04-01,75
PK,2020-04-01,85
NI,2020-04-01,-16
NJ,2020-04-01,10
NG,2020-04-01,7
NK,2020-04-01,0
NL,2020-04-01,56
PH ,2020-04-01,0
NN,2020-03-31,234
NE,2020-03-31,31.5
ND,2020-03-31,133
PH,2020-03-31,337.0
PA,2020-03-31,147
PD,2020-03-31,79
NB,2020-03-31,83
PB,2020-03-31,64
PG,2020-03-31,102
NC,2020-03-31,138.0
NH,2020-03-31,9
PC,2020-03-31,21
NA,2020-03-31,35
PF,2020-03-31,13
PE,2020-03-31,68
PK,2020-03-31,55
NI,2020-03-31,19
NJ,2020-03-31,12
NG,2020-03-31,7
NK,2020-03-31,0
NL,2020-03-31,85
PH ,2020-03-31,0
NN,2020-03-30,341.0
NE,2020-03-30,54
ND,2020-03-30,55
PH,2020-03-30,409.5
PA,2020-03-30,149
PD,2020-03-30,71.5
NB,2020-03-30,42
PB,2020-03-30,52
PG,2020-03-30,120
NC,2020-03-30,147
NH,2020-03-30,11
PC,2020-03-30,15
NA,2020-03-30,51
PF,2020-03-30,0
PE,2020-03-30,22
PK,2020-03-30,52
NI,2020-03-30,8
NJ,2020-03-30,31.5
NG,2020-03-30,6
NK,2020-03-30,0
NL,2020-03-30,103.5
PH ,2020-03-30,0
NN,2020-03-29,292.0
NE,2020-03-29,36
ND,2020-03-29,54.5
PH,2020-03-29,679.0
PA,2020-03-29,175.5
PD,2020-03-29,121
NB,2020-03-29,101
PB,2020-03-29,66
PG,2020-03-29,151.5
NC,2020-03-29,124.5
NH,2020-03-29,23
PC,2020-03-29,13
NA,2020-03-29,14
PF,2020-03-29,15
PE,2020-03-29,61
PK,2020-03-29,97
NI,2020-03-29,0
NJ,2020-03-29,66
NG,2020-03-29,-3
NK,2020-03-29,0
NL,2020-03-29,146
PH ,2020-03-29,0
NN,2020-03-28,247
NE,2020-03-28,-2
ND,2020-03-28,59
PH,2020-03-28,476.5
PA,2020-03-28,131
PD,2020-03-28,80
NB,2020-03-28,50.5
PB,2020-03-28,50
PG,2020-03-28,115.5
NC,2020-03-28,132.5
NH,2020-03-28,9
PC,2020-03-28,15
NA,2020-03-28,29
PF,2020-03-28,3
PE,2020-03-28,70
PK,2020-03-28,95
NI,2020-03-28,16
NJ,2020-03-28,15
NG,2020-03-28,3
NK,2020-03-28,0
NL,2020-03-28,103.5
PH ,2020-03-28,0
NN,2020-03-27,195.5
NE,2020-03-27,25.5
ND,2020-03-27,56
PH,2020-03-27,557.5
PA,2020-03-27,124
PD,2020-03-27,78
NB,2020-03-27,49.5
PB,2020-03-27,38.5
PG,2020-03-27,117
NC,2020-03-27,127.5
NH,2020-03-27,18
PC,2020-03-27,11
NA,2020-03-27,18
PF,2020-03-27,0
PE,2020-03-27,26
PK,2020-03-27,78.5
NI,2020-03-27,17
NJ,2020-03-27,20
NG,2020-03-27,6
NK,2020-03-27,0
NL,2020-03-27,113.5
PH ,2020-03-27,0
NN,2020-03-26,193.5
NE,2020-03-26,29.5
ND,2020-03-26,49.0
PH,2020-03-26,588.5
PA,2020-03-26,95.5
PD,2020-03-26,173.5
NB,2020-03-26,64
PB,2020-03-26,79
PG,2020-03-26,162
NC,2020-03-26,135
NH,2020-03-26,17.0
PC,2020-03-26,0
NA,2020-03-26,39
PF,2020-03-26,7
PE,2020-03-26,144
PK,2020-03-26,125
NI,2020-03-26,24
NJ,2020-03-26,5
NG,2020-03-26,6
NK,2020-03-26,0
NL,2020-03-26,77.5
PH ,2020-03-26,0
NN,2020-03-25,220.5
NE,2020-03-25,43.0
ND,2020-03-25,52
PH,2020-03-25,561.0
PA,2020-03-25,176
PD,2020-03-25,116.5
NB,2020-03-25,59
PB,2020-03-25,53
PG,2020-03-25,88
NC,2020-03-25,152
NH,2020-03-25,13.5
PC,2020-03-25,0
NA,2020-03-25,10
PF,2020-03-25,15
PE,2020-03-25,61
PK,2020-03-25,139.5
NI,2020-03-25,7
NJ,2020-03-25,17.5
NG,2020-03-25,15
NK,2020-03-25,0
NL,2020-03-25,66
PH ,2020-03-25,0
NN,2020-03-12,142.5
NE,2020-03-12,47
ND,2020-03-12,39
PH,2020-03-12,300
PA,2020-03-12,92.5
PD,2020-03-12,82
NB,2020-03-12,40
PB,2020-03-12,22
PG,2020-03-12,76
NC,2020-03-12,103
NH,2020-03-12,-6
PC,2020-03-12,15
NA,2020-03-12,27
PF,2020-03-12,3
PE,2020-03-12,42
PK,2020-03-12,47
NI,2020-03-12,21
NJ,2020-03-12,25
NG,2020-03-12,24
NK,2020-03-12,0
NL,2020-03-12,60
PH ,2020-03-12,0
NN,2020-03-24,151.0
NE,2020-03-24,21.5
ND,2020-03-24,140
PH,2020-03-24,276.0
PA,2020-03-24,161
PD,2020-03-24,80
NB,2020-03-24,58.5
PB,2020-03-24,71.5
PG,2020-03-24,86.5
NC,2020-03-24,204
NH,2020-03-24,0
PC,2020-03-24,1
NA,2020-03-24,62.5
PF,2020-03-24,10
PE,2020-03-24,86
PK,2020-03-24,67
NI,2020-03-24,38
NJ,2020-03-24,33
NG,2020-03-24,0
NK,2020-03-24,0
NL,2020-03-24,180.5
PH ,2020-03-24,0
NN,2020-03-23,208.5
NE,2020-03-23,39
ND,2020-03-23,108
PH,2020-03-23,469
PA,2020-03-23,100
PD,2020-03-23,134
NB,2020-03-23,58.5
PB,2020-03-23,87.5
PG,2020-03-23,136
NC,2020-03-23,91.5
NH,2020-03-23,0
PC,2020-03-23,30.0
NA,2020-03-23,5
PF,2020-03-23,1
PE,2020-03-23,45
